unique_id,current_job,data_career_switch,current_salary_usd,industry_1,programming_language_clean,satisfaction_salary,satisfaction_work_life_balance,satisfaction_coworkers,satisfaction_management,satisfaction_upward_mobility,satisfaction_learning,difficulty_getting_to_data,new_job_requirements,gender,age,country,ethnicity,min_salary,max_salary,avg_salary
62a33b3db4da29969c62df3d,Data Analyst,Yes,106k-125k,Healthcare,Python,9,9,7,5,5,7,Very Difficult,Remote Work,Male,26,United States,White or Caucasian,106,125,168
62a33ba1bae91e4b8b82e35c,Data Analyst,No,41k-65k,Finance,R,1,2,5,2,1,3,Very Difficult,Remote Work,Male,36,Canada,Asian or Asian American,41,65,73
62a33c2cbc6861bf3176bec1,Data Engineer,No,0-40k,Other (Please Specify):Clean Energy,Python,0,8,7,5,7,7,Easy,Good Work/Life Balance,Male,23,Other (Please Specify):Nigeria,Black or African American,0,40,20
62a33c8624a26260273822f9,Other (Please Specify):Analytics Consultant ,Yes,150k-225k,Finance,R,10,6,7,10,7,10,Very Easy,Remote Work,Female,35,Canada,White or Caucasian,150,225,262
62a33c91f3072dd892621e03,Data Analyst,Yes,41k-65k,Healthcare,R,1,4,4,4,0,1,Difficult,Better Salary,Male,44,United States,Black or African American,41,65,73
62a33cb6cf25554317300177,Data Analyst,Yes,0-40k,Other (Please Specify):Coworking space ,Python,2,3,3,3,3,2,Difficult,Good Work/Life Balance,Male,33,Other (Please Specify):Republic democratic of Congo ,Black or African American,0,40,20
62a33cb72e54c9003e531c65,Data Scientist,Yes,0-40k,Finance,Python,0,6,6,6,6,5,Difficult,Better Salary,Male,24,Other (Please Specify),Black or African American,0,40,20
62a33cd30f8c8599d5af0f8f,Data Engineer,Yes,125k-150k,Retail,SQL,10,5,5,5,5,9,Neither easy nor difficult,Remote Work,Male,35,United States,Asian or Asian American,125,150,200
62a33cd3cf255543173001d9,Data Analyst,Yes,86k-105k,Healthcare,R,4,4,4,4,5,5,Neither easy nor difficult,Better Salary,Male,35,United States,Asian or Asian American,86,105,138
62a33cd8bc6861bf3176c05f,Data Analyst,Yes,41k-65k,Telecommunication,Python,2,0,3,3,0,4,Very Difficult,Better Salary,Male,28,United States,Hispanic or Latino,41,65,73
62a33ce918134ddc75ce8c30,Data Analyst,Yes,66k-85k,Other (Please Specify):Logistics,Python,10,10,8,8,8,10,Neither easy nor difficult,Remote Work,Male,37,Canada,White or Caucasian,66,85,108
62a33cf30a77c1a77f65baa2,Data Analyst,Yes,0-40k,Other (Please Specify):Igaming,Python,3,8,10,10,7,8,Neither easy nor difficult,Better Salary,Male,32,Other (Please Specify):Serbia,White or Caucasian,0,40,20
62a33d15f408bae018ed370d,Data Analyst,Yes,0-40k,Tech,R,1,10,9,9,5,10,Neither easy nor difficult,Better Salary,Male,34,Other (Please Specify):Argentina,Other (Please Specify):Latino with Italian roots,0,40,20
62a33d1ebae91e4b8b82e707,Data Scientist,Yes,0-40k,Education,Python,3,10,10,6,7,8,Easy,Good Work/Life Balance,Male,30,United Kingdom,White or Caucasian,0,40,20
62a33d4624a26260273824c4,Data Analyst,No,41k-65k,Construction,R,4,5,5,5,4,5,Neither easy nor difficult,Good Culture,Male,31,United States,White or Caucasian,41,65,73
62a33d5c0f8c8599d5af107c,Data Analyst,Yes,41k-65k,Finance,Python,4,10,7,7,7,5,Difficult,Good Culture,Male,29,United States,White or Caucasian,41,65,73
62a33d850f8c8599d5af10cb,Data Analyst,Yes,0-40k,Tech,Python,1,2,4,2,2,2,Neither easy nor difficult,Better Salary,Male,22,Other (Please Specify):Niger,Black or African American,0,40,20
62a33d9bf8f7561645852496,Student/Looking/None,Yes,0-40k,Retail,Python,1,3,2,2,4,1,Difficult,Better Salary,Male,23,United States,Black or African American,0,40,20
62a33dbdd8c00e9f5419cd65,Student/Looking/None,No,41k-65k,Tech,R,7,8,8,6,8,3,Very Difficult,Better Salary,Female,26,Canada,Asian or Asian American,41,65,73
62a33de124a26260273826b2,Data Analyst,No,0-40k,Other (Please Specify):Aviation,Python,1,1,1,1,2,0,Very Difficult,Better Salary,Male,28,Other (Please Specify):Nigeria,Black or African American,0,40,20
62a33dedd8c00e9f5419ce2b,Data Analyst,Yes,41k-65k,Finance,Python,5,5,5,5,5,5,Easy,Remote Work,Male,29,Other (Please Specify):Kenya,Black or African American,41,65,73
62a33dfbd8c00e9f5419ceda,Data Analyst,Yes,106k-125k,Tech,SQL,10,5,10,6,10,10,Neither easy nor difficult,Remote Work,Female,31,United States,White or Caucasian,106,125,168
62a33e38f3072dd8926221d3,Data Analyst,Yes,0-40k,Healthcare,Python,5,6,8,8,7,1,Neither easy nor difficult,Remote Work,Male,28,Other (Please Specify):Azerbaijan,White or Caucasian,0,40,20
62a33e54d8c00e9f5419cfe9,Data Analyst,No,0-40k,Finance,Python,4,4,4,4,4,4,Neither easy nor difficult,Better Salary,Male,32,Other (Please Specify):Argentina,Hispanic or Latino,0,40,20
62a33e62575fa3a5ae88aabf,Data Analyst,No,0-40k,Tech,Python,7,8,8,8,3,8,Easy,Better Salary,Male,24,Other (Please Specify):Sudan,Black or African American,0,40,20
62a33e63cec54911e9ca4f99,Data Analyst,No,0-40k,Tech,Python,4,6,6,6,7,7,Easy,Good Work/Life Balance,Male,31,India,Asian or Asian American,0,40,20
62a33e72bae91e4b8b82ea1a,Data Analyst,No,66k-85k,Other (Please Specify):Insurance,SQL,7,10,5,5,5,2,Difficult,Other (Please Specify):Responsibilities,Male,23,United States,White or Caucasian,66,85,108
62a33e890f8c8599d5af13b9,Data Analyst,Yes,106k-125k,Other (Please Specify):Energy,Python,1,6,9,1,0,2,Difficult,Remote Work,Female,33,United States,Asian or Asian American,106,125,168
62a33e8bf8d5efcc22f7c79a,Data Analyst,No,86k-105k,Healthcare,Other:Qlik sense script,6,7,7,7,7,4,Very Easy,Better Salary,Male,43,United States,White or Caucasian,86,105,138
62a33e90cec54911e9ca5031,Student/Looking/None,Yes,0-40k,Other (Please Specify):Oil and gas,R,0,0,5,0,0,0,Very Difficult,Remote Work,Female,23,Other (Please Specify):Nigeria,Other (Please Specify):African,0,40,20
62a33e9df8f756164585277b,Student/Looking/None,Yes,41k-65k,Finance,Python,10,7,10,10,5,3,Very Difficult,Good Work/Life Balance,Male,31,United States,Black or African American,41,65,73
62a33eb6bc6861bf3176c5a3,Data Analyst,Yes,66k-85k,Finance,Python,5,6,7,5,4,4,Neither easy nor difficult,Other (Please Specify):Development,Male,31,United Kingdom,White or Caucasian,66,85,108
62a33ee0bae91e4b8b82eaec,Data Analyst,Yes,0-40k,Other (Please Specify),Python,8,7,8,7,7,7,Difficult,Good Work/Life Balance,Male,25,India,Asian or Asian American,0,40,20
62a33ee80f8c8599d5af14b7,Data Engineer,No,125k-150k,Tech,SQL,8,10,10,9,9,9,Easy,Better Salary,Male,43,United States,White or Caucasian,125,150,200
62a33efe0a77c1a77f65bf1e,Data Analyst,No,41k-65k,Finance,Python,2,3,5,5,5,5,Difficult,Better Salary,Female,26,Canada,Other (Please Specify):South Asian,41,65,73
62a33f0ef408bae018ed3aeb,Other (Please Specify):FP&A Analyst,No,41k-65k,Automotive,Python,5,10,8,8,8,7,Neither easy nor difficult,Remote Work,Male,32,Other (Please Specify):Japan,White or Caucasian,41,65,73
62a33f17f8f7561645852867,Other (Please Specify):BI Developer ,No,0-40k,Tech,Python,2,9,7,7,5,6,Difficult,Better Salary,Male,31,Other (Please Specify):Greece,White or Caucasian,0,40,20
62a33f52bc6861bf3176c72c,Data Analyst,Yes,86k-105k,Healthcare,SQL,3,5,6,4,4,5,Neither easy nor difficult,Better Salary,Male,29,United States,White or Caucasian,86,105,138
62a33f56cf255543173005e9,Data Analyst,Yes,0-40k,Automotive,Python,3,1,3,2,3,1,Neither easy nor difficult,Good Culture,Male,24,Other (Please Specify):Perú ,Hispanic or Latino,0,40,20
62a33f5a5d257a28a30d7bb5,Student/Looking/None,Yes,41k-65k,Construction,Python,2,0,2,2,0,0,Very Difficult,Remote Work,Male,34,United States,White or Caucasian,41,65,73
62a33fa5cec54911e9ca51f1,Data Analyst,Yes,41k-65k,Other (Please Specify):Utili,Other:Power bi,5,6,6,5,4,6,Very Difficult,Better Salary,Male,42,Other (Please Specify):Australia,Other (Please Specify):Indian,41,65,73
62a33fcb575fa3a5ae88ad59,Student/Looking/None,Yes,0-40k,Other (Please Specify):Not working yet,JavaScript,0,0,0,0,0,0,Difficult,Remote Work,Female,40,United States,Asian or Asian American,0,40,20
62a33fcf18134ddc75ce91c3,Student/Looking/None,No,41k-65k,Telecommunication,Python,3,1,3,4,0,3,Easy,Good Work/Life Balance,Male,43,Other (Please Specify):Spain,White or Caucasian,41,65,73
62a34006d8c00e9f5419d341,Student/Looking/None,Yes,0-40k,Construction,Python,0,0,0,0,0,0,Very Difficult,Better Salary,Male,23,Other (Please Specify):Kenya ,Other (Please Specify):Kenyan African ,0,40,20
62a34020575fa3a5ae88ade0,Student/Looking/None,Yes,0-40k,Education,Python,5,5,3,5,2,6,Difficult,Better Salary,Male,23,Other (Please Specify):Japan,Asian or Asian American,0,40,20
62a34038b4da29969c62eafe,Data Analyst,Yes,86k-105k,Manufacturing,Python,8,6,2,3,6,7,Neither easy nor difficult,"Other (Please Specify):Strong organizational data strategy, high-performing team",Male,28,United States,White or Caucasian,86,105,138
62a3406b575fa3a5ae88ae78,Data Analyst,No,66k-85k,Finance,SQL,5,7,1,1,0,8,Neither easy nor difficult,Better Salary,Male,32,United States,White or Caucasian,66,85,108
62a340cab4da29969c62ec01,Data Analyst,Yes,66k-85k,Manufacturing,R,7,8,10,8,9,9,Difficult,Remote Work,Female,41,United States,White or Caucasian,66,85,108
62a340d62e54c9003e5324b4,Data Analyst,Yes,41k-65k,Finance,Python,5,6,6,6,6,6,Neither easy nor difficult,Remote Work,Male,33,United Kingdom,White or Caucasian,41,65,73
62a340e10a77c1a77f65c2e7,"Other (Please Specify):Manager, Business Intelligence Develop",Yes,150k-225k,Tech,Python,10,8,9,8,8,10,Easy,Good Work/Life Balance,Male,38,United States,Hispanic or Latino,150,225,262
62a340f5bc6861bf3176caa4,Data Analyst,No,0-40k,Tech,SQL,8,8,8,8,5,10,Easy,Better Salary,Female,22,India,Other (Please Specify):Indian,0,40,20
62a34117cec54911e9ca54e7,Student/Looking/None,Yes,0-40k,Other (Please Specify):Currently studying . Previously worked in Power Generation,R,1,3,6,6,6,9,Difficult,Remote Work,Male,36,Other (Please Specify):Barbados,Black or African American,0,40,20
62a3413a5d257a28a30d8074,Data Engineer,No,66k-85k,Finance,Python,2,1,1,1,3,7,Easy,Remote Work,Female,28,United States,Asian or Asian American,66,85,108
