Unique ID,Q1 - Which Title Best Fits your Current Role?,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
62a33b3db4da29969c62df3d,Data Analyst,Yes,106k-125k,Healthcare,Python,9,9,7,5,5,7,Very Difficult,Remote Work,Male,26,United States,,White or Caucasian
62a33ba1bae91e4b8b82e35c,Data Analyst,No,41k-65k,Finance,R,1,2,5,2,1,3,Very Difficult,Remote Work,Male,36,Canada,,Asian or Asian American
62a33c2cbc6861bf3176bec1,Data Engineer,No,0-40k,Other (Please Specify):Clean Energy,Python,0,8,7,5,7,7,Easy,Good Work/Life Balance,Male,23,Other (Please Specify):Nigeria,,Black or African American
62a33c8624a26260273822f9,Other (Please Specify):Analytics Consultant ,Yes,150k-225k,Finance,R,10,6,7,10,7,10,Very Easy,Remote Work,Female,35,Canada,,White or Caucasian
62a33c91f3072dd892621e03,Data Analyst,Yes,41k-65k,Healthcare,R,1,4,4,4,0,1,Difficult,Better Salary,Male,44,United States,,Black or African American
62a33cb6cf25554317300177,Data Analyst,Yes,0-40k,Other (Please Specify):Coworking space ,Python,2,3,3,3,3,2,Difficult,Good Work/Life Balance,Male,33,Other (Please Specify):Republic democratic of Congo ,,Black or African American
62a33cb72e54c9003e531c65,Data Scientist,Yes,0-40k,Finance,Python,0,6,6,6,6,5,Difficult,Better Salary,Male,24,Other (Please Specify),,Black or African American
62a33cd30f8c8599d5af0f8f,Data Engineer,Yes,125k-150k,Other (Please Specify):Retail,Other:SQL,10,5,5,5,5,9,Neither easy nor difficult,Remote Work,Male,35,United States,,Asian or Asian American
62a33cd3cf255543173001d9,Data Analyst,Yes,86k-105k,Healthcare,R,4,4,4,4,5,5,Neither easy nor difficult,Better Salary,Male,35,United States,,Asian or Asian American
62a33cd8bc6861bf3176c05f,Data Analyst,Yes,41k-65k,Telecommunication,Python,2,0,3,3,0,4,Very Difficult,Better Salary,Male,28,United States,,Hispanic or Latino
62a33ce918134ddc75ce8c30,Data Analyst,Yes,66k-85k,Other (Please Specify):Logistics,Python,10,10,8,8,8,10,Neither easy nor difficult,Remote Work,Male,37,Canada,,White or Caucasian
62a33cf30a77c1a77f65baa2,Data Analyst,Yes,0-40k,Other (Please Specify):Igaming,Python,3,8,10,10,7,8,Neither easy nor difficult,Better Salary,Male,32,Other (Please Specify):Serbia,,White or Caucasian
62a33d15f408bae018ed370d,Data Analyst,Yes,0-40k,Tech,R,1,10,9,9,5,10,Neither easy nor difficult,Better Salary,Male,34,Other (Please Specify):Argentina,,Other (Please Specify):Latino with Italian roots
62a33d1ebae91e4b8b82e707,Data Scientist,Yes,0-40k,Education,Python,3,10,10,6,7,8,Easy,Good Work/Life Balance,Male,30,United Kingdom,,White or Caucasian
62a33d4624a26260273824c4,Data Analyst,No,41k-65k,Construction,R,4,5,5,5,4,5,Neither easy nor difficult,Good Culture,Male,31,United States,,White or Caucasian
62a33d5c0f8c8599d5af107c,Data Analyst,Yes,41k-65k,Finance,Python,4,10,7,7,7,5,Difficult,Good Culture,Male,29,United States,,White or Caucasian
62a33d850f8c8599d5af10cb,Data Analyst,Yes,0-40k,Tech,Python,1,2,4,2,2,2,Neither easy nor difficult,Better Salary,Male,22,Other (Please Specify):Niger,,Black or African American
